movie,movie_id,genres
Life of Pi,tt0454876,"Adventure Epic, Sea Adventure, Survival, Teen Adventure, Adventure, Drama, Fantasy"
The Last Command,tt0048287,"Classical Western, War Epic, History, War, Western"
In Old Arizona,tt0020018,"Classical Western, Drama, Western"
Desraeli,tt0078601,"Political Drama, Biography, Drama, History"
A Free Soul,tt0021885,"Crime, Drama, Romance"
The Private Life of Henry VIII,tt0024473,"Period Drama, Biography, Drama, History"
It Happened One Night,tt0025316,"Road Trip, Comedy, Romance"
The Informer,tt1833116,"Police Procedural, Prison Drama, Spy, Action, Crime, Drama, Thriller"
The Story of Louis Pasteur,tt0028313,"Medical Drama, Political Drama, Biography, Drama, History"
Captains Courageous,tt0028691,"Sea Adventure, Adventure, Drama, Family"
Boys Town,tt0029942,"Biography, Drama, Family"
Goodbye Mr Chips,tt0031385,"Drama, Romance"
The Philadelphia Story,tt0032904,"Romantic Comedy, Screwball Comedy, Comedy, Romance"
Sergeant York,tt0034167,"Biography, Drama, History, Romance, War"
Yankee Doodle Dandy,tt0035575,"Classic Musical, Biography, Drama, Family, Music, Musical"
Watch on the Rhine,tt0036515,"Drama, Thriller"
Going My Way,tt0036872,"Comedy, Drama, Music"
The Lost Weekend,tt0037884,"Film Noir, Drama"
The Best Years of Our Lives,tt0036868,"Epic, Feel-Good Romance, Drama, Romance, War"
A Double Life,tt0039335,"Film Noir, Crime, Drama"
Hamlet,tt0116477,"Tragedy, Drama"
All The Kings Men,tt6361244,Documentary
Cyrano de Bergerac,tt0099334,"Costume Drama, Period Drama, Comedy, Drama, History, Romance"
The Africa Queen,tt0043265,"Jungle Adventure, Adventure, Drama, Romance, War"
High Noon,tt0044706,"Classical Western, Drama, Thriller, Western"
Stalag 17,tt0046359,"Comedy, Drama, War"
On the Waterfront,tt0047296,"Crime, Drama, Thriller"
Marty,tt0048356,"Drama, Romance"
The King and I,tt0049408,"Classic Musical, Biography, Drama, Musical, Romance"
The Bridge on the River Kwai,tt0050212,"Jungle Adventure, War Epic, Adventure, Drama, War"
Separate Tables,tt0052182,"Drama, Romance"
Benhur,tt0052618,"Adventure Epic, Desert Adventure, Epic, Sword & Sandal, Adventure, Drama"
Elmer Gantry,tt0053793,Drama
Judgement at Nuremberg,tt0055031,"Drama, War"
To Kill a Mockingbird,tt0056592,"Legal Drama, Period Drama, Crime, Drama"
Lilies of the Field,tt0057251,Drama
My Fair Lady,tt0058385,"Classic Musical, Drama, Family, Musical, Romance"
Cat Ballou,tt0059017,Western
A Man For All Seasons,tt0060665,"Costume Drama, Period Drama, Biography, Drama, History"
In the Heat of the Night,tt0094484,"Cop Drama, Police Procedural, Psychological Thriller, Crime, Drama, Mystery, Thriller"
Charly,tt0062794,"Psychological Drama, Drama, Romance, Sci-Fi"
True Grit,tt1403865,"Period Drama, Drama, Western"
The French Connection,tt0067116,"Cop Drama, Drug Crime, Police Procedural, Action, Crime, Drama, Thriller"
The Godfather,tt0068646,"Epic, Gangster, Period Drama, Tragedy, Crime, Drama"
Save the Tiger,tt0070640,Drama
Harry and Tonto,tt0071598,"Road Trip, Adventure, Comedy, Drama, Romance"
One Flew Over the Cuckoos Nest,tt0073486,"Medical Drama, Prison Drama, Psychological Drama, Drama"
Network,tt0074958,"Workplace Drama, Drama"
The Goodbye Girl,tt0076095,"Romantic Comedy, Comedy, Drama, Romance"
Coming Home,tt0077362,"Drama, Romance, War"
Kramer vs Kramer,tt0079417,Drama
Raging Bull,tt0081398,"Boxing, Docudrama, Biography, Drama, Sport"
On Golden Pond,tt0082846,Drama
Gandhi,tt0083987,"Docudrama, Epic, Period Drama, Biography, Drama, History"
Tender Mercies,tt0086423,"Drama, Music"
Amadeus,tt0086879,"Costume Drama, Period Drama, Tragedy, Biography, Drama, Music"
Kiss of the Spider Woman,tt30400277,"Drama, Musical"
The Color of Money,tt0090863,"Drama, Sport"
Wall Street,tt0993846,"Dark Comedy, Satire, True Crime, Biography, Comedy, Crime, Drama, Financial Drama"
My Left Foot,tt0097937,"Biography, Drama"
Reversal of Fortune,tt0100486,"Biography, Drama, Mystery"
Silence of the Lambs,tt0102926,"Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Crime, Drama, Thriller"
Scent of a Woman,tt0105323,"Epic, Drama"
Philadelphia,tt0472954,"Dark Comedy, Satire, Sitcom, Comedy"
Forrest Gump,tt0109830,"Epic, Period Drama, Drama, Romance"
Leaving Las Vegas,tt0113627,"Dark Romance, Psychological Drama, Steamy Romance, Tragedy, Tragic Romance, Drama, Romance"
Shine,tt0117631,"Biography, Drama, Music, Romance"
As Good as It Gets,tt0119822,"Comedy, Drama, Romance"
Life is Beautiful,tt0118799,"Period Drama, Tragedy, Tragic Romance, Comedy, Drama, Romance, War"
American Beauty,tt0169547,"Psychological Drama, Tragedy, Drama"
Gladiator,tt0172495,"Action Epic, Period Drama, Sword & Sandal, Action, Adventure, Drama"
Training Day,tt0139654,"Cop Drama, Drug Crime, Gangster, Police Procedural, Tragedy, Crime, Drama, Thriller"
The Pianist,tt0253474,"Docudrama, Epic, Period Drama, Tragedy, War Epic, Biography, Drama, Music, War"
Mystic River,tt0327056,"Psychological Thriller, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Capote,tt0379725,"True Crime, Biography, Crime, Drama, History"
The Last King of Scotland,tt0455590,"Biography, Drama, History, Thriller"
There Will Be Blood,tt0469494,"Epic, Period Drama, Psychological Drama, Tragedy, Drama"
Milk,tt1013753,"Biography, Drama, History"
Crazy Heart,tt1263670,"Drama, Music, Romance"
The Kings Speech,tt1504320,"Period Drama, Political Drama, Biography, Drama, History"
The Artist,tt1655442,"Showbiz Drama, Slapstick, Comedy, Drama, Romance"
Lincoln,tt13833978,"Legal Drama, Legal Thriller, Crime, Drama, Mystery, Thriller"
Dallas Buyers Club,tt0790636,"Docudrama, Medical Drama, Biography, Drama"
Come and Get It,tt0027459,"Drama, Romance"
The Life of Emile Zola,tt0029146,"Biography, Drama"
Kentucky,tt0076257,"Parody, Sketch Comedy, Slapstick, Comedy"
Stagecoach,tt0031971,"Classical Western, Adventure, Drama, Western"
The Westerner,tt0033253,"Classical Western, Drama, Western"
How Green Was My Valley,tt0033729,"Drama, Family"
Johnny Eager,tt0033774,"Film Noir, Crime, Mystery, Thriller"
The More the Merrier,tt0036172,"Farce, Screwball Comedy, Comedy"
Going My Way,tt0036872,"Comedy, Drama, Music"
A Tree Grows in Brooklyn,tt0038190,"Drama, Family, Romance"
The Best Years of Our Lives,tt0036868,"Epic, Feel-Good Romance, Drama, Romance, War"
Miracle on 34th Street,tt0110527,"Holiday Family, Drama, Family, Fantasy, Holiday"
The Treasure of the Sierra Madre,tt0040897,"Adventure, Drama, Western"
Twelve OClock High,tt0041996,"Drama, War"
All About Eve,tt0042192,"Dark Comedy, Drama"
A Streetcar Named Desire,tt0044081,"Tragedy, Drama"
Viva Zapata,tt0045296,"Biography, Drama, History, Western"
From Here to Eternity,tt0045793,"Drama, Romance, War"
The Barefoot Contessa,tt0046754,"Tragedy, Crime, Drama, Mystery, Romance"
Mister Roberts,tt0048380,"Comedy, Drama, War"
Lust for Life,tt0049456,"Docudrama, Biography, Drama"
Sayonara,tt0050933,"Drama, Romance"
The Big Country,tt0051411,"Classical Western, Western Epic, Drama, Romance, Western"
BenHur,tt0052618,"Adventure Epic, Desert Adventure, Epic, Sword & Sandal, Adventure, Drama"
Spartacus,tt1442449,"Sword & Sandal, Action, Adventure, Biography, Drama, Romance"
West Side Story,tt3581652,"Pop Musical, Crime, Drama, Musical, Romance"
Sweet Bird of Youth,tt0056541,"Drama, Romance"
Hud,tt0057163,"Contemporary Western, Drama, Western"
