_golden,_unit_state,birthplace_gold,date_of_birth_gold,race_ethnicity_gold,sexual_orientation_gold,year_of_award_gold
False,finalized,Thomasville_Ga,1930-02-27,White,Straight,1958
False,finalized,Helena_Mt,1901-05-07,White,Straight,1953
False,finalized,London_England,1932-02-27,White,Straight,1967
False,finalized,Lincoln_Ne,1974-07-30,White,Straight,2005
True,golden,Lincoln_Ne,1974-07-30,White,Straight,2005
False,finalized,Los_Angeles_Ca,1972-09-27,White,Straight,1999
False,finalized,Malden_Ma,1907-06-16,White,Na,1969
False,finalized,Woodlawn_Md,1967-12-11,Black,Straight,2010
False,finalized,La_Jolla_Ca,1959-08-14,White,Straight,2001
False,finalized,Ilford_Essex_England,1934-12-28,White,Straight,1970
False,finalized,London_England,1971-03-07,White,Straight,2006
False,finalized,Manchester_England,1956-10-20,White,Straight,2009
False,finalized,Chicago_Il,1922-07-26,White,Straight,1977
False,finalized,Laurel_Ne,1928-08-31,White,Straight,1999
False,finalized,Nevada_Mo,1906-08-05,White,Straight,1949
