_golden,_unit_state,birthplace_gold,date_of_birth_gold,race_ethnicity_gold,sexual_orientation_gold,year_of_award_gold
False,finalized,Tunbridge_Wells_Kent_England,1883-12-11,White,Straight,1936
False,finalized,Lviv_Ukraine,1895-09-22,White,Straight,1937
False,finalized,Milwaukee_Wi,1900-04-05,White,Straight,1938
False,finalized,Milwaukee_Wi,1900-04-05,White,Straight,1939
False,finalized,Withington_Manchester_England,1905-03-18,White,Straight,1940
False,finalized,Indiana_Pa,1908-05-20,White,Straight,1941
False,finalized,Helena_Mt,1901-05-07,White,Straight,1942
False,finalized,Manhattan_Ny,1899-07-17,White,Straight,1943
False,finalized,Budapest_Hungary,1887-05-26,White,Straight,1944
False,finalized,Tacoma_Wa,1903-05-03,White,Straight,1945
False,finalized,Neath_Wales,1907-01-03,White,Straight,1946
False,finalized,Racine_Wi,1897-08-31,White,Straight,1947
False,finalized,Richmond_Surrey_England,1891-02-09,White,Straight,1948
False,finalized,Dorking_Surrey_England,1907-05-22,White,Bisexual,1949
False,finalized,Philadelphia_Pa,1911-12-09,White,Straight,1950
False,finalized,Santurce_Puerto_Rico,1909-01-08,Hispanic,Straight,1951
False,finalized,New_York_City,1899-12-25,White,Straight,1952
True,golden,Helena_Mt,1901-05-07,White,Straight,1953
False,finalized,Ofallon_Il,1918-04-17,White,Straight,1954
False,finalized,Omaha_Ne,1924-04-03,White,Bisexual,1955
False,finalized,Hamden_Ct,1917-01-24,White,Straight,1956
False,finalized,Vladivostok_Russia,1920-07-11,White,Straight,1957
False,finalized,London_England,1914-04-02,White,Bisexual,1958
False,finalized,London_England,1909-03-01,White,Straight,1959
False,finalized,Evanston_Il,1923-10-04,White,Straight,1960
False,finalized,New_York_City,1913-11-02,White,Straight,1961
False,finalized,Vienna_Austria,1930-12-08,White,Straight,1962
False,finalized,La_Jolla_Ca,1916-04-05,White,Straight,1963
False,finalized,Miami_Fl,1927-02-20,Black,Straight,1964
False,finalized,Huyton_Lancashire_England,1908-03-05,White,Straight,1965
False,finalized,New_York_City,1924-02-19,White,Straight,1966
False,finalized,Hurstpierpoint_West_Sussex_England,1922-01-21,White,Straight,1967
False,finalized,Westhampton_Ny,1925-04-14,White,Straight,1968
False,finalized,La_Jolla_Ca,1923-09-09,White,Straight,1969
False,finalized,Winterset_Ia,1907-05-26,White,Straight,1970
False,finalized,Wise_Va,1927-10-18,White,Straight,1971
False,finalized,San_Bernardino_Ca,1930-01-30,White,Straight,1972
False,finalized,Omaha_Ne,1924-04-03,White,Bisexual,1973
False,finalized,Newton_Ma,1925-02-08,White,Straight,1974
False,finalized,Mount_Vernon_Ny,1918-11-04,White,Straight,1975
False,finalized,New_York_City,1937-04-22,White,Straight,1976
False,finalized,South_Kensington_London_England,1916-09-28,White,Straight,1977
False,finalized,Brooklyn_Ny,1947-10-29,White,Straight,1978
False,finalized,Yonkers_Ny,1938-12-29,White,Straight,1979
False,finalized,Los_Angeles_Ca,1937-08-08,White,Straight,1980
False,finalized,New_York_City,1943-08-17,White,Straight,1981
False,finalized,Grand_Island_Ne,1905-05-16,White,Straight,1982
False,finalized,Scarborough_Yorkshire_England,1943-12-31,Multiracial,Straight,1983
False,finalized,San_Diego_Ca,1931-01-05,White,Straight,1984
False,finalized,Pittsburgh_Pa,1939-10-24,Middle_Eastern,Straight,1985
False,finalized,Washington_Dc,1950-03-20,White,Straight,1986
False,finalized,Shaker_Heights_Oh,1925-01-26,White,Straight,1987
False,finalized,New_Brunswick_Nj,1944-09-25,White,Straight,1988
False,finalized,Los_Angeles_Ca,1937-08-08,White,Straight,1989
False,finalized,London_England,1957-04-29,White,Straight,1990
False,finalized,Cowes_Isle_of_Wight_England,1948-09-19,White,Straight,1991
False,finalized,Port_Talbot_Wales,1937-12-31,White,Straight,1992
False,finalized,East_Harlem_New_York_City,1940-04-25,White,Straight,1993
True,golden,Concord_Ca,1956-07-09,White,Straight,1994
False,finalized,Concord_Ca,1956-07-09,White,Straight,1995
False,finalized,Long_Beach_Ca,1964-01-07,White,Straight,1996
