birthplace,date_of_birth,race_ethnicity,sexual_orientation,year_of_award,award,movie,person
Washington_Dc,1900-10-10,White,Straight,1932,Best_Actress,The_Sin_of_Madelon_Claudet,Helen_Hayes
Hartford_Ct,1907-05-12,White,Bisexual,1934,Best_Actress,Morning_Glory,Katharine_Hepburn
Paris_France,1903-09-13,White,Straight,1935,Best_Actress,It_Happened_One_Night,Claudette_Colbert
Lowell_Ma,1908-04-05,White,Straight,1936,Best_Actress,Dangerous,Bette_Davis
Dusseldorf_Germany,1910-01-12,White,Straight,1937,Best_Actress,The_Great_Ziegfeld,Luise_Rainer
Dusseldorf_Germany,1910-01-12,White,Straight,1938,Best_Actress,The_Good_Earth,Luise_Rainer
Lowell_Ma,1908-04-05,White,Straight,1939,Best_Actress,Jezebel,Bette_Davis
Darjeeling_India,1913-11-05,White,Straight,1940,Best_Actress,Gone_with_the_Wind,Vivien_Leigh
Independence_Mo,1911-07-16,White,Straight,1941,Best_Actress,Kitty_Foyle,Ginger_Rogers
Tokyo_Japan,1917-10-22,White,Straight,1940,Best_Actress,Suspicion,Joan_Fontaine
London_England,1904-09-29,White,Straight,1942,Best_Actress,Mrs_Miniver,Greer_Garson
Tulsa_Ok,1919-03-02,White,Straight,1944,Best_Actress,The_Song_of_Bernadette,Jennifer_Jones
Stockholm_Sweden,1915-08-29,White,Straight,1945,Best_Actress,Gaslight,Ingrid_Bergman
San_Antonio_Tx,1905-03-23,White,Bisexual,1946,Best_Actress,Mildred_Pierce,Joan_Crawford
Tokyo_Japan,1916-07-01,White,Straight,1947,Best_Actress,To_Each_His_Own,Olivia_de_Havilland
Salt_Lake_City_Ut,1913-01-06,White,Straight,1948,Best_Actress,The_Farmers_Daughter,Loretta_Young
St_Joseph_Mo,1917-01-05,White,Straight,1949,Best_Actress,Johnny_Belinda,Jane_Wyman
Tokyo_Japan,1916-07-01,White,Straight,1950,Best_Actress,The_Heiress,Olivia_de_Havilland
New_York_City,1921-06-21,White,Straight,1951,Best_Actress,Born_Yesterday,Judy_Holliday
Darjeeling_India,1913-11-05,White,Straight,1952,Best_Actress,A_Streetcar_Named_Desire,Vivien_Leigh
New_York_City,1898-08-30,White,Straight,1953,Best_Actress,Come_Back_Little_Sheba,Shirley_Booth
Brussels_Belgium,1929-05-04,White,Straight,1954,Best_Actress,Roman_Holiday,Audrey_Hepburn
Philadelphia_Pa,1929-11-12,White,Straight,1955,Best_Actress,The_Country_Girl,Grace_Kelly
Rome_Italy,1908-03-07,White,Straight,1956,Best_Actress,The_Rose_Tattoo,Anna_Magnani
Stockholm_Sweden,1915-08-29,White,Straight,1957,Best_Actress,Anastasia,Ingrid_Bergman
Thomasville_Ga,1930-02-27,White,Straight,1958,Best_Actress,The_Three_Faces_of_Eve,Joanne_Woodward
Brooklyn_Ny,1918-06-30,White,Straight,1959,Best_Actress,I_Want_To_Live,Susan_Hayward
Wiesbaden_Germany,1921-03-25,White,Straight,1960,Best_Actress,Room_at_the_Top,Simone_Signoret
London_England,1932-02-27,White,Straight,1961,Best_Actress,Butterfield_8,Elizabeth_Taylor
Pozzuoli_Italy,1934-09-20,White,Straight,1962,Best_Actress,Two_Women,Sophia_Loren
Bronx_Ny,1931-09-17,White,Straight,1963,Best_Actress,The_Miracle_Worker,Anne_Bancroft
Packard_Ky,1926-01-20,White,Straight,1964,Best_Actress,Hud,Patricia_Neal
WaltononThames_Surrey_England,1935-10-01,White,Straight,1965,Best_Actress,Mary_Poppins,Julie_Andrews
Chabua_Assam_India,1941-04-14,White,Straight,1966,Best_Actress,Darling,Julie_Christie
London_England,1932-02-27,White,Straight,1967,Best_Actress,Whos_Afraid_of_Virginia_Woolf,Elizabeth_Taylor
Hartford_Ct,1907-05-12,White,Bisexual,1968,Best_Actress,Guess_Whos_Coming_to_Dinner,Katharine_Hepburn
Brooklyn_Ny,1942-04-24,White,Straight,1969,Best_Actress,Funny_Girl,Barbra_Streisand
Hartford_Ct,1907-05-12,White,Bisexual,1969,Best_Actress,The_Lion_in_Winter,Katharine_Hepburn
Ilford_Essex_England,1934-12-28,White,Straight,1970,Best_Actress,The_Prime_of_Miss_Jean_Brodie,Maggie_Smith
Birkenhead_Cheshire_England,1936-05-09,White,Straight,1971,Best_Actress,Women_in_Love,Glenda_Jackson
New_York_City,1937-12-21,White,Straight,1972,Best_Actress,Klute,Jane_Fonda
Los_Angeles_Ca,1946-03-12,White,Straight,1973,Best_Actress,Cabaret,Liza_Minnelli
Birkenhead_Cheshire_England,1936-05-09,White,Straight,1974,Best_Actress,A_Touch_of_Class,Glenda_Jackson
Detroit_Mi,1932-12-07,White,Straight,1975,Best_Actress,Alice_Doesnt_Live_Here_Anymore,Ellen_Burstyn
Birmingham_Al,1934-07-22,White,Straight,1976,Best_Actress,One_Flew_Over_the_Cuckoos_Nest,Louise_Fletcher
Bascom_Fl,1941-01-14,White,Straight,1977,Best_Actress,Network,Faye_Dunaway
Los_Angeles_Ca,1946-01-05,White,Straight,1978,Best_Actress,Annie_Hall,Diane_Keaton
New_York_City,1937-12-21,White,Straight,1979,Best_Actress,Coming_Home,Jane_Fonda
Pasadena_Ca,1946-11-06,White,Straight,1980,Best_Actress,Norma_Rae,Sally_Field
Quitman_Tx,1949-12-25,White,Straight,1981,Best_Actress,Coal_Miners_Daughter,Sissy_Spacek
Hartford_Ct,1907-05-12,White,Bisexual,1982,Best_Actress,On_Golden_Pond,Katharine_Hepburn
Summit_Nj,1949-06-22,White,Straight,1983,Best_Actress,Sophies_Choice,Meryl_Streep
Richmond_Va,1934-04-24,White,Straight,1984,Best_Actress,Terms_of_Endearment,Shirley_MacLaine
Pasadena_Ca,1946-11-06,White,Straight,1985,Best_Actress,Places_in_the_Heart,Sally_Field
Kirksville_Mo,1924-11-22,White,Straight,1986,Best_Actress,The_Trip_to_Bountiful,Geraldine_Page
Morton_Grove_Il,1965-08-24,White,Straight,1987,Best_Actress,Children_of_a_Lesser_God,Marlee_Matlin
El_Centro_Ca,1946-05-20,White,Bisexual,1988,Best_Actress,Moonstruck,Cher
Los_Angeles_Ca,1962-11-19,White,Lesbian,1989,Best_Actress,The_Accused,Jodie_Foster
London_England,1909-06-07,White,Straight,1990,Best_Actress,Driving_Miss_Daisy,Jessica_Tandy
Memphis_Tn,1948-06-28,White,Straight,1991,Best_Actress,Misery,Kathy_Bates
Los_Angeles_Ca,1962-11-19,White,Lesbian,1992,Best_Actress,The_Silence_of_the_Lambs,Jodie_Foster
London_England,1959-04-15,White,Straight,1993,Best_Actress,Howards_End,Emma_Thompson
Conyers_Ga,1958-03-20,White,Straight,1994,Best_Actress,The_Piano,Holly_Hunter
Cloquet_Mn,1949-04-20,White,Straight,1995,Best_Actress,Blue_Sky,Jessica_Lange
Queens_Ny,1946-10-04,White,Straight,1996,Best_Actress,Dead_Man_Walking,Susan_Sarandon
Chicago_Il,1957-06-23,White,Straight,1997,Best_Actress,Fargo,Frances_McDormand
Culver_City_Ca,1963-06-15,White,Straight,1998,Best_Actress,As_Good_As_It_Gets,Helen_Hunt
Los_Angeles_Ca,1972-09-27,White,Straight,1999,Best_Actress,Shakespeare_in_Love,Gwyneth_Paltrow
Lincoln_Ne,1974-07-30,White,Straight,2000,Best_Actress,Boys_Dont_Cry,Hilary_Swank
Smyrna_Ga,1967-10-28,White,Straight,2001,Best_Actress,Erin_Brockovich,Julia_Roberts
Cleveland_Oh,1966-08-14,Multiracial,Straight,2002,Best_Actress,Monsters_Ball,Halle_Berry
Honolulu_Hi,1967-06-20,White,Straight,2003,Best_Actress,The_Hours,Nicole_Kidman
Benoni_South_Africa,1975-08-07,White,Straight,2004,Best_Actress,Monster,Charlize_Theron
Lincoln_Ne,1974-07-30,White,Straight,2005,Best_Actress,Million_Dollar_Baby,Hilary_Swank
New_Orleans_La,1976-03-22,White,Straight,2006,Best_Actress,Walk_the_Line,Reese_Witherspoon
Chiswick_London_England,1945-07-26,White,Straight,2007,Best_Actress,The_Queen,Helen_Mirren
Paris_France,1975-09-30,White,Straight,2008,Best_Actress,The_Passionate_Life_of_Edith_Piaf,Marion_Cotillard
Reading_England,1975-10-05,White,Straight,2009,Best_Actress,The_Reader,Kate_Winslet
Arlington_Va,1964-07-26,White,Straight,2010,Best_Actress,The_Blind_Side,Sandra_Bullock
Jerusalem_Israel,1981-06-09,White,Straight,2011,Best_Actress,Black_Swan,Natalie_Portman
Summit_Nj,1949-06-22,White,Straight,2012,Best_Actress,The_Iron_Lady,Meryl_Streep
Louisville_Ky,1990-08-15,White,Straight,2013,Best_Actress,Silver_Linings_Playbook,Jennifer_Lawrence
Melbourne_Victoria_Australia,1969-05-14,White,Straight,2014,Best_Actress,Blue_Jasmine,Cate_Blanchett
Litchfield_Mn,1899-02-15,White,Straight,1937,Best_Supporting_Actress,Anthony_Adverse,Gale_Sondergaard
New_York_City,1892-11-02,White,Straight,1938,Best_Supporting_Actress,In_Old_Chicago,Alice_Brady
Los_Angeles_Ca,1891-12-07,White,Straight,1939,Best_Supporting_Actress,Jezebel,Fay_Bainter
Wichita_Ks,1893-06-10,Black,Matter of Dispute,1940,Best_Supporting_Actress,Gone_with_the_Wind,Hattie_McDaniel
Palmyra_Mo,1879-10-15,White,Straight,1941,Best_Supporting_Actress,The_Grapes_of_Wrath,Jane_Darwell
Quincy_Il,1906-05-03,White,Straight,1942,Best_Supporting_Actress,The_Great_Lie,Mary_Astor
New_York_City,1918-10-27,White,Straight,1943,Best_Supporting_Actress,Mrs_Miniver,Teresa_Wright
Athens_Greece,1900-12-17,White,Straight,1944,Best_Supporting_Actress,For_Whom_the_Bell_Tolls,Katina_Paxinou
Philadelphia_Pa,1879-08-15,White,Straight,1945,Best_Supporting_Actress,None_but_the_Lonely_Heart,Ethel_Barrymore
New_York_City,1903-06-25,White,Straight,1946,Best_Supporting_Actress,National_Velvet,Anne_Revere
Michigan_City_In,1923-05-07,White,Straight,1947,Best_Supporting_Actress,The_Razors_Edge,Anne_Baxter
New_York_City,1917-04-29,White,Straight,1948,Best_Supporting_Actress,Gentlemans_Agreement,Celeste_Holm
New_York_City,1910-03-08,White,Straight,1949,Best_Supporting_Actress,Key_Largo,Claire_Trevor
Joliet_Il,1916-03-17,White,Straight,1950,Best_Supporting_Actress,All_the_Kings_Men,Mercedes_McCambridge
Newtonville_Ma,1886-01-03,White,Straight,1951,Best_Supporting_Actress,Harvey,Josephine_Hull
Detroit_Mi,1922-11-12,White,Straight,1952,Best_Supporting_Actress,A_Streetcar_Named_Desire,Kim_Hunter
Los_Angeles_Ca,1923-11-28,White,Straight,1953,Best_Supporting_Actress,The_Bad_and_the_Beautiful,Gloria_Grahame
Denison_Ia,1921-01-27,White,Straight,1954,Best_Supporting_Actress,From_Here_to_Eternity,Donna_Reed
Newark_Nj,1924-07-04,White,Straight,1955,Best_Supporting_Actress,On_the_Waterfront,Eva_Marie_Saint
Oakland_Ca,1914-12-30,White,Straight,1956,Best_Supporting_Actress,East_of_Eden,Jo_Van_Fleet
Chicago_Il,1925-01-30,White,Straight,1957,Best_Supporting_Actress,Written_on_the_Wind,Dorothy_Malone
Otaro_Hokkaido_Japan,1929-04-03,Asian,Straight,1958,Best_Supporting_Actress,Sayonara,Miyoshi_Umeki
Bramhall_Cheshire_England,1912-08-15,White,Straight,1959,Best_Supporting_Actress,Separate_Tables,Wendy_Hiller
St_Louis_Mo,1920-08-18,White,Straight,1960,Best_Supporting_Actress,The_Diary_of_Anne_Frank,Shelley_Winters
Charleroi_Pa,1934-03-31,White,Straight,1961,Best_Supporting_Actress,Elmer_Gantry,Shirley_Jones
Humacao_Puerto_Rico,1931-12-11,Hispanic,Straight,1962,Best_Supporting_Actress,West_Side_Story,Rita_Moreno
Elmhurst_Ny,1946-12-14,White,Straight,1963,Best_Supporting_Actress,The_Miracle_Worker,Patty_Duke
London_England,1892-05-11,White,Straight,1964,Best_Supporting_Actress,the_VIPs,Margaret_Rutherford
St_Petersburg_Russia,1918-10-09,White,Straight,1965,Best_Supporting_Actress,Zorba_the_Greek,Lila_Kedrova
St_Louis_Mo,1920-08-18,White,Straight,1966,Best_Supporting_Actress,A_Patch_of_Blue,Shelley_Winters
Hastings_Ne,1937-04-27,White,Bisexual,1967,Best_Supporting_Actress,Whos_Afraid_of_Virginia_Woolf,Sandy_Dennis
Marblehead_Ma,1927-11-20,White,Straight,1968,Best_Supporting_Actress,Bonnie_and_Clyde,Estelle_Parsons
Quincy_Ma,1896-10-30,White,Straight,1969,Best_Supporting_Actress,Rosemarys_Baby,Ruth_Gordon
Silver_Spring_Md,1945-11-21,White,Straight,1970,Best_Supporting_Actress,Cactus_Flower,Goldie_Hawn
Washington_Dc,1900-10-10,White,Straight,1971,Best_Supporting_Actress,Airport,Helen_Hayes
Des_Moines_Ia,1926-04-30,White,Straight,1972,Best_Supporting_Actress,The_Last_Picture_Show,Cloris_Leachman
Columbus_Oh,1919-03-29,White,Straight,1973,Best_Supporting_Actress,Butterflies_Are_Free,Eileen_Heckart
Los_Angeles_Ca,1963-11-05,White,Straight,1974,Best_Supporting_Actress,Paper_Moon,Tatum_ONeal
Stockholm_Sweden,1915-08-29,White,Straight,1975,Best_Supporting_Actress,Murder_on_the_Orient_Express,Ingrid_Bergman
New_York_City,1927-10-31,White,Straight,1976,Best_Supporting_Actress,Shampoo,Lee_Grant
Old_Westbury_Ny,1914-08-02,White,Straight,1977,Best_Supporting_Actress,Network,Beatrice_Straight
London_England,1937-01-30,White,Straight,1978,Best_Supporting_Actress,Julia,Vanessa_Redgrave
Ilford_Essex_England,1934-12-28,White,Straight,1979,Best_Supporting_Actress,California_Suite,Maggie_Smith
Summit_Nj,1949-06-22,White,Straight,1980,Best_Supporting_Actress,Kramer_vs_Kramer,Meryl_Streep
Newport_Ar,1953-02-08,White,Straight,1981,Best_Supporting_Actress,Melvin_and_Howard,Mary_Steenburgen
Troy_Ny,1925-06-21,White,Straight,1982,Best_Supporting_Actress,Reds,Maureen_Stapleton
Cloquet_Mn,1949-04-20,White,Straight,1983,Best_Supporting_Actress,Tootsie,Jessica_Lange
Morristown_Nj,1945-04-02,White,Straight,1984,Best_Supporting_Actress,The_Year_of_Living_Dangerously,Linda_Hunt
Croydon_Surrey_England,1907-12-22,White,Straight,1985,Best_Supporting_Actress,A_Passage_to_India,Peggy_Ashcroft
Santa_Monica_Ca,1951-07-08,White,Straight,1986,Best_Supporting_Actress,Prizzis_Honor,Anjelica_Huston
Kansas_City_Mo,1948-03-28,White,Straight,1987,Best_Supporting_Actress,Hannah_and_Her_Sisters,Dianne_Wiest
Lowell_Ma,1931-06-20,White,Straight,1988,Best_Supporting_Actress,Moonstruck,Olympia_Dukakis
Wareham_Ma,1956-01-21,White,Straight,1989,Best_Supporting_Actress,The_Accidental_Tourist,Geena_Davis
Dublin_Ireland,1945-02-17,White,Straight,1990,Best_Supporting_Actress,My_Left_Foot,Brenda_Fricker
New_York_City,1955-11-13,Black,Straight,1991,Best_Supporting_Actress,Ghost,Whoopi_Goldberg
Queens_Ny,1948-02-28,Hispanic,Straight,1992,Best_Supporting_Actress,The_Fisher_King,Mercedes_Ruehl
Brooklyn_Ny,1964-12-04,White,Straight,1993,Best_Supporting_Actress,My_Cousin_Vinny,Marisa_Tomei
Winnipeg_Manitoba_Canada,1982-07-24,White,Bisexual,1994,Best_Supporting_Actress,The_Piano,Anna_Paquin
Kansas_City_Mo,1948-03-28,White,Straight,1995,Best_Supporting_Actress,Bullets_Over_Broadway,Dianne_Wiest
Tenafly_Nj,1967-09-28,White,Straight,1996,Best_Supporting_Actress,Mighty_Aphrodite,Mira_Sorvino
Paris_France,1964-03-09,White,Straight,1997,Best_Supporting_Actress,The_English_Patient,Juliette_Binoche
Athens_Ga,1953-12-08,White,Straight,1998,Best_Supporting_Actress,LA_Confidential,Kim_Basinger
York_North_Yorkshire_England,1934-12-09,White,Straight,1999,Best_Supporting_Actress,Shakespeare_in_Love,Judi_Dench
Los_Angeles_Ca,1975-06-04,White,Bisexual,2000,Best_Supporting_Actress,Girl_Interrupted,Angelina_Jolie
La_Jolla_Ca,1959-08-14,White,Straight,2001,Best_Supporting_Actress,Pollock,Marcia_Gay_Harden
Catskill_Mountains_Ny,1970-12-12,White,Straight,2002,Best_Supporting_Actress,A_Beautiful_Mind,Jennifer_Connelly
Mumbles_Wales,1969-09-25,White,Straight,2003,Best_Supporting_Actress,Chicago,Catherine_ZetaJones
Katy_Tx,1969-04-25,White,Straight,2004,Best_Supporting_Actress,Cold_Mountain,RenÌe_Zellweger
Melbourne_Victoria_Australia,1969-05-14,White,Straight,2005,Best_Supporting_Actress,The_Aviator,Cate_Blanchett
London_England,1971-03-07,White,Straight,2006,Best_Supporting_Actress,The_Constant_Gardener,Rachel_Weisz
Chicago_Il,1981-09-12,Black,Straight,2007,Best_Supporting_Actress,Dreamgirls,Jennifer_Hudson
London_England,1960-11-05,White,Straight,2007,Best_Supporting_Actress,Michael_Clayton,Tilda_Swinton
Madrid_Spain,1974-04-28,Hispanic,Straight,2009,Best_Supporting_Actress,Vicky_Cristina_Barcelona,Penelope_Cruz
Woodlawn_Md,1967-12-11,Black,Straight,2010,Best_Supporting_Actress,Precious,MoNique
New_York_City,1960-09-14,White,Straight,2011,Best_Supporting_Actress,The_Fighter,Melissa_Leo
Montgomery_Al,1972-05-25,Black,Straight,2012,Best_Supporting_Actress,The_Help,Octavia_Spencer
Brooklyn_Ny,1982-11-12,White,Straight,2013,Best_Supporting_Actress,Les_MisÌrables,Anne_Hathaway
Mexico_City_Mexico,1983-03-01,Black,Straight,2014,Best_Supporting_Actress,12_Years_a_Slave,Lupita_Nyongo
Sucha_Galicia_Austria,1906-06-22,White,Straight,1961,Best_Director,The_Apartment,Billy_Wilder
Independence_Mo,1911-07-16,White,Straight,1941,Best_Actress,Kitty_Foyle,Ginger_Rogers
Concord_Ca,1956-07-09,White,Straight,1994,Best_Actor,Philadelphia,Tom_Hanks
New_York_City,1939-02-03,White,Straight,1979,Best_Director,The_Deer_Hunter,Michael_Cimino
Quincy_Il,1906-05-03,White,Straight,1942,Best_Supporting_Actress,The_Great_Lie,Mary_Astor
Los_Angeles_Ca,1975-06-04,White,Bisexual,2000,Best_Supporting_Actress,Girl_Interrupted,Angelina_Jolie
New_York_City,1927-10-31,White,Straight,1976,Best_Supporting_Actress,Shampoo,Lee_Grant
New_York_City,1903-06-25,White,Straight,1946,Best_Supporting_Actress,National_Velvet,Anne_Revere
Bascom_Fl,1941-01-14,White,Straight,1977,Best_Actress,Network,Faye_Dunaway
Walters_Ok,1910-12-13,White,Straight,1943,Best_Supporting_Actor,Johnny_Eager,Van_Heflin
Thomasville_Ga,1930-02-27,White,Straight,1958,Best_Actress,The_Three_Faces_of_Eve,Joanne_Woodward
Helena_Mt,1901-05-07,White,Straight,1953,Best_Actor,High_Noon,Gary_Cooper
London_England,1932-02-27,White,Straight,1967,Best_Actress,Whos_Afraid_of_Virginia_Woolf,Elizabeth_Taylor
Lincoln_Ne,1974-07-30,White,Straight,2005,Best_Actress,Million_Dollar_Baby,Hilary_Swank
Lincoln_Ne,1974-07-30,White,Straight,2005,Best_Actress,Million_Dollar_Baby,Hilary_Swank
Los_Angeles_Ca,1972-09-27,White,Straight,1999,Best_Actress,Shakespeare_in_Love,Gwyneth_Paltrow
Malden_Ma,1907-06-16,White,Straight,1969,Best_Supporting_Actor,The_Subject_Was_Roses,Jack_Albertson
Woodlawn_Md,1967-12-11,Black,Straight,2010,Best_Supporting_Actress,Precious,MoNique
La_Jolla_Ca,1959-08-14,White,Straight,2001,Best_Supporting_Actress,Pollock,Marcia_Gay_Harden
Ilford_Essex_England,1934-12-28,White,Straight,1970,Best_Actress,The_Prime_of_Miss_Jean_Brodie,Maggie_Smith
London_England,1971-03-07,White,Straight,2006,Best_Supporting_Actress,The_Constant_Gardener,Rachel_Weisz
Manchester_England,1956-10-20,White,Straight,2009,Best_Director,Slumdog_Millionaire,Danny_Boyle
Chicago_Il,1922-07-26,White,Straight,1977,Best_Supporting_Actor,All_the_Presidents_Men,Jason_Robards
Laurel_Ne,1928-08-31,White,Straight,1999,Best_Supporting_Actor,Affliction,James_Coburn
Nevada_Mo,1906-08-05,White,Straight,1949,Best_Director,The_Treasure_of_the_Sierra_Madre,John_Huston
