birthplace,date_of_birth,race_ethnicity,sexual_orientation,year_of_award,award,movie,person
New_York_City,1946-09-15,White,Straight,1990,Best_Director,Platoon,Oliver_Stone
Parma_EmiliaRomagna_Italy,1941-03-16,White,Straight,1988,Best_Director,The_Last_Emperor,Bernardo_Bertolucci
Baltimore_Md,1942-04-06,White,Straight,1989,Best_Director,Rain_Man,Barry_Levinson
New_York_City,1946-09-15,White,Straight,1990,Best_Director,Born_on_the_Fourth_of_July,Oliver_Stone
Lynwood_Ca,1955-01-18,White,Straight,1991,Best_Director,Dances_with_Wolves,Kevin_Costner
Baldwin_Ny,1944-02-22,White,Straight,1992,Best_Director,The_Silence_of_the_Lambs,Jonathan_Demme
San_Francisco_Ca,1930-05-31,White,Straight,1993,Best_Director,Unforgiven,Clint_Eastwood
Cincinnati_Oh,1946-12-18,White,Straight,1994,Best_Director,Schindlers_List,Steven_Spielberg
Chicago_Il,1952-05-14,White,Straight,1995,Best_Director,Forrest_Gump,Robert_Zemeckis
Peekskill_Ny,1956-01-03,White,Straight,1996,Best_Director,Braveheart,Mel_Gibson
Ryde_Isle_of_Wight_England,1954-01-06,White,Straight,1997,Best_Director,The_English_Patient,Anthony_Minghella
Kapuskasing_Ontario_Canada,1954-08-16,White,Straight,1998,Best_Director,Titanic,James_Cameron
Cincinnati_Oh,1946-12-18,White,Straight,1999,Best_Director,Saving_Private_Ryan,Steven_Spielberg
Reading_Berkshire_England,1965-08-01,White,Straight,2000,Best_Director,American_Beauty,Sam_Mendes
Atlanta_Ga,1963-01-14,White,Straight,2001,Best_Director,Traffic,Steven_Soderbergh
Duncan_Ok,1954-03-01,White,Straight,2002,Best_Director,A_Beautiful_Mind,Ron_Howard
Paris_France,1933-08-18,White,Straight,2003,Best_Director,The_Pianist,Roman_Polanski
Wellington_New_Zealand,1961-10-31,White,Straight,2004,Best_Director,The_Lord_of_the_Rings_Return_of_the_King,Peter_Jackson
San_Francisco_Ca,1930-05-31,White,Straight,2005,Best_Director,Million_Dollar_Baby,Clint_Eastwood
Pingtung_Taiwan,1954-10-23,Asian,Straight,2006,Best_Director,Brokeback_Mountain,Ang_Lee
Flushing_Ny,1942-11-17,White,Straight,2007,Best_Director,The_Departed,Martin_Scorsese
St_Louis_Park_Mn,1957-09-21,White,Straight,2008,Best_Director,No_Country_for_Old_Men,Ethan_Coen
Manchester_England,1956-10-20,White,Straight,2009,Best_Director,Slumdog_Millionaire,Danny_Boyle
San_Carlos_Ca,1951-11-27,White,Straight,2009,Best_Director,The_Hurt_Locker,Kathryn_Bigelow
London_England,1972-01-01,White,Straight,2011,Best_Director,The_Kings_Speech,Tom_Hooper
Paris_France,1967-03-29,White,Straight,2012,Best_Director,The_Artist,Michel_Hazanavicius
Pingtung_Taiwan,1954-10-23,Asian,Straight,2013,Best_Director,Life_of_Pi,Ang_Lee
Rorschach_Switzerland,1884-07-23,White,Bisexual,1929,Best_Actor,The_Last_Command,Emil_Jannings
Columbus_Oh,1889-03-29,White,Straight,1930,Best_Actor,In_Old_Arizona,Warner_Baxter
London_England,1868-04-10,White,Straight,1930,Best_Actor,Desraeli,George_Arliss
Philadelphia_Pa,1878-04-28,White,Straight,1931,Best_Actor,A_Free_Soul,Lionel_Barrymore
Kansas_City_Mo,1885-04-01,White,Straight,1932,Best_Actor,The_Champ,Wallace_Beery
Victoria_Hotel_Scarborough_Yorkshire_England,1899-07-01,White,Gay,1934,Best_Actor,The_Private_Life_of_Henry_VIII,Charles_Laughton
Cadiz_Oh,1901-02-01,White,Straight,1935,Best_Actor,It_Happened_One_Night,Clark_Gable
Tunbridge_Wells_Kent_England,1883-12-11,White,Straight,1936,Best_Actor,The_Informer,Victor_McLaglen
Lviv_Ukraine,1895-09-22,White,Straight,1937,Best_Actor,The_Story_of_Louis_Pasteur,Paul_Muni
Milwaukee_Wi,1900-04-05,White,Straight,1938,Best_Actor,Captains_Courageous,Spencer_Tracy
Milwaukee_Wi,1900-04-05,White,Straight,1939,Best_Actor,Boys_Town,Spencer_Tracy
Withington_Manchester_England,1905-03-18,White,Straight,1940,Best_Actor,Goodbye_Mr_Chips,Robert_Donat
Indiana_Pa,1908-05-20,White,Straight,1941,Best_Actor,The_Philadelphia_Story,Jimmy_Stewart
Helena_Mt,1901-05-07,White,Straight,1942,Best_Actor,Sergeant_York,Gary_Cooper
Manhattan_Ny,1899-07-17,White,Straight,1943,Best_Actor,Yankee_Doodle_Dandy,James_Cagney
Budapest_Hungary,1887-05-26,White,Straight,1944,Best_Actor,Watch_on_the_Rhine,Paul_Lukas
Tacoma_Wa,1903-05-03,White,Straight,1945,Best_Actor,Going_My_Way,Bing_Crosby
Neath_Wales,1907-01-03,White,Straight,1946,Best_Actor,The_Lost_Weekend,Ray_Milland
Racine_Wi,1897-08-31,White,Straight,1947,Best_Actor,The_Best_Years_of_Our_Lives,Fredric_March
Richmond_Surrey_England,1891-02-09,White,Straight,1948,Best_Actor,A_Double_Life,Ronald_Colman
Dorking_Surrey_England,1907-05-22,White,Bisexual,1949,Best_Actor,Hamlet,Laurence_Olivier
Philadelphia_Pa,1911-12-09,White,Straight,1950,Best_Actor,All_The_Kings_Men,Broderick_Crawford
Santurce_Puerto_Rico,1909-01-08,Hispanic,Straight,1951,Best_Actor,Cyrano_de_Bergerac,Jose_Ferrer
New_York_City,1899-12-25,White,Straight,1952,Best_Actor,The_Africa_Queen,Humphrey_Bogart
Helena_Mt,1901-05-07,White,Straight,1953,Best_Actor,High_Noon,Gary_Cooper
Ofallon_Il,1918-04-17,White,Straight,1954,Best_Actor,Stalag_17,William_Holden
Omaha_Ne,1924-04-03,White,Bisexual,1955,Best_Actor,On_the_Waterfront,Marlon_Brando
Hamden_Ct,1917-01-24,White,Straight,1956,Best_Actor,Marty,Ernest_Borgnine
Vladivostok_Russia,1920-07-11,White,Straight,1957,Best_Actor,The_King_and_I,Yul_Brynner
London_England,1914-04-02,White,Bisexual,1958,Best_Actor,The_Bridge_on_the_River_Kwai,Alec_Guinness
London_England,1909-03-01,White,Straight,1959,Best_Actor,Separate_Tables,David_Niven
Evanston_Il,1923-10-04,White,Straight,1960,Best_Actor,Benhur,Charlton_Heston
New_York_City,1913-11-02,White,Straight,1961,Best_Actor,Elmer_Gantry,Burt_Lancaster
Vienna_Austria,1930-12-08,White,Straight,1962,Best_Actor,Judgement_at_Nuremberg,Maximilian_Schell
La_Jolla_Ca,1916-04-05,White,Straight,1963,Best_Actor,To_Kill_a_Mockingbird,Gregory_Peck
Miami_Fl,1927-02-20,Black,Straight,1964,Best_Actor,Lilies_of_the_Field,Sidney_Poitier
Huyton_Lancashire_England,1908-03-05,White,Straight,1965,Best_Actor,My_Fair_Lady,Rex_Harrison
New_York_City,1924-02-19,White,Straight,1966,Best_Actor,Cat_Ballou,Lee_Marvin
Hurstpierpoint_West_Sussex_England,1922-01-21,White,Straight,1967,Best_Actor,A_Man_For_All_Seasons,Paul_Scofield
Westhampton_Ny,1925-04-14,White,Straight,1968,Best_Actor,In_the_Heat_of_the_Night,Rod_Steiger
La_Jolla_Ca,1923-09-09,White,Straight,1969,Best_Actor,Charly,Cliff_Robertson
Winterset_Ia,1907-05-26,White,Straight,1970,Best_Actor,True_Grit,John_Wayne
Wise_Va,1927-10-18,White,Straight,1971,Best_Actor,Patton,George_C_Scott
San_Bernardino_Ca,1930-01-30,White,Straight,1972,Best_Actor,The_French_Connection,Gene_Hackman
Omaha_Ne,1924-04-03,White,Bisexual,1973,Best_Actor,The_Godfather,Marlon_Brando
Newton_Ma,1925-02-08,White,Straight,1974,Best_Actor,Save_the_Tiger,Jack_Lemmon
Mount_Vernon_Ny,1918-11-04,White,Straight,1975,Best_Actor,Harry_and_Tonto,Art_Carney
New_York_City,1937-04-22,White,Straight,1976,Best_Actor,One_Flew_Over_the_Cuckoos_Nest,Jack_Nicholson
South_Kensington_London_England,1916-09-28,White,Straight,1977,Best_Actor,Network,Peter_Finch
Brooklyn_Ny,1947-10-29,White,Straight,1978,Best_Actor,The_Goodbye_Girl,Richard_Dreyfuss
Yonkers_Ny,1938-12-29,White,Straight,1979,Best_Actor,Coming_Home,Jon_Voight
Los_Angeles_Ca,1937-08-08,White,Straight,1980,Best_Actor,Kramer_vs_Kramer,Dustin_Hoffman
New_York_City,1943-08-17,White,Straight,1981,Best_Actor,Raging_Bull,Robert_De_Niro
Grand_Island_Ne,1905-05-16,White,Straight,1982,Best_Actor,On_Golden_Pond,Henry_Fonda
Scarborough_Yorkshire_England,1943-12-31,Multiracial,Straight,1983,Best_Actor,Gandhi,Ben_Kingsley
San_Diego_Ca,1931-01-05,White,Straight,1984,Best_Actor,Tender_Mercies,Robert_Duvall
Pittsburgh_Pa,1939-10-24,Middle_Eastern,Straight,1985,Best_Actor,Amadeus,F_Murray_Abraham
