birthplace,date_of_birth,race_ethnicity,sexual_orientation,year_of_award,award,movie,person,Coordinates
Chicago_Il,1927-06-23,White,Straight,1973,Best_Director,Cabaret,Bob_Fosse,"[41.878113, -87.629799]"
Minneapolis_Mn,1921-12-20,White,Straight,1973,Best_Director,The_Sting,George_Roy_Hill,"[44.977753, -93.265011]"
Detroit_Mi,1939-04-07,White,Straight,1975,Best_Director,The_Godfather_Part_II,Francis_Ford_Coppola,"[42.331429, -83.045753]"
CÌÁslav_Czechoslovakia,1932-02-18,White,Straight,1976,Best_Director,One_Flew_over_the_Cuckoos_Nest,Milos_Forman,"[49.903761, 15.377264]"
Oak_Park_Il,1935-12-21,White,Straight,1976,Best_Director,Rocky,John_G_Avildsen,"[41.885031, -87.784502]"
Brooklyn_Ny,1935-12-01,White,Straight,1978,Best_Director,Annie_Hall,Woody_Allen,"[40.650002, -73.949997]"
New_York_City,1939-02-03,White,Straight,1979,Best_Director,The_Deer_Hunter,Michael_Cimino,"[40.712776, -74.005974]"
Waxahachie_Tx,1932-09-29,White,Straight,1980,Best_Director,Kramer_vs_Kramer,Robert_Benton,"[32.386433, -96.848331]"
Santa_Monica_Ca,1936-08-18,White,Straight,1980,Best_Director,Ordinary_People,Robert_Redford,"[34.019394, -118.491191]"
Richmond_Va,1937-03-30,White,Straight,1981,Best_Director,Reds,Warren_Beatty,"[37.540726, -77.43605]"
Cambridge_England,1923-08-29,White,Straight,1982,Best_Director,Gandhi,Richard_Attenborough,"[52.205276, 0.119167]"
North_Bergen_Nj,1940-05-09,White,Straight,1983,Best_Director,Terms_of_Endearment,James_L_Brooks,"[40.804283, -74.012083]"
CÌÁslav_Czechoslovakia,1932-02-18,White,Straight,1985,Best_Director,Amadeus,Milos_Forman,"[49.903761, 15.377264]"
Lafayette_In,1934-07-01,White,Straight,1986,Best_Director,Out_of_Africa,Sydney_Pollack,"[40.416702, -86.875286]"
New_York_City,1946-09-15,White,Straight,1990,Best_Director,Platoon,Oliver_Stone,"[40.712776, -74.005974]"
Parma_EmiliaRomagna_Italy,1941-03-16,White,Straight,1988,Best_Director,The_Last_Emperor,Bernardo_Bertolucci,"[44.801485, 10.327903]"
Baltimore_Md,1942-04-06,White,Straight,1989,Best_Director,Rain_Man,Barry_Levinson,"[39.290386, -76.61219]"
New_York_City,1946-09-15,White,Straight,1990,Best_Director,Born_on_the_Fourth_of_July,Oliver_Stone,"[40.712776, -74.005974]"
Lynwood_Ca,1955-01-18,White,Straight,1991,Best_Director,Dances_with_Wolves,Kevin_Costner,"[33.930293, -118.21146]"
Baldwin_Ny,1944-02-22,White,Straight,1992,Best_Director,The_Silence_of_the_Lambs,Jonathan_Demme,"[40.652954, -73.607159]"
San_Francisco_Ca,1930-05-31,White,Straight,1993,Best_Director,Unforgiven,Clint_Eastwood,"[37.774929, -122.419418]"
Cincinnati_Oh,1946-12-18,White,Straight,1994,Best_Director,Schindlers_List,Steven_Spielberg,"[39.103119, -84.512016]"
Chicago_Il,1952-05-14,White,Straight,1995,Best_Director,Forrest_Gump,Robert_Zemeckis,"[41.878113, -87.629799]"
Peekskill_Ny,1956-01-03,White,Straight,1996,Best_Director,Braveheart,Mel_Gibson,"[41.290387, -73.920857]"
Ryde_Isle_of_Wight_England,1954-01-06,White,Straight,1997,Best_Director,The_English_Patient,Anthony_Minghella,"[50.730548, -1.160299]"
Kapuskasing_Ontario_Canada,1954-08-16,White,Straight,1998,Best_Director,Titanic,James_Cameron,"[49.416668, -82.433334]"
Cincinnati_Oh,1946-12-18,White,Straight,1999,Best_Director,Saving_Private_Ryan,Steven_Spielberg,"[39.103119, -84.512016]"
Reading_Berkshire_England,1965-08-01,White,Straight,2000,Best_Director,American_Beauty,Sam_Mendes,"[51.454514, -0.973168]"
Atlanta_Ga,1963-01-14,White,Straight,2001,Best_Director,Traffic,Steven_Soderbergh,"[33.748997, -84.387985]"
Duncan_Ok,1954-03-01,White,Straight,2002,Best_Director,A_Beautiful_Mind,Ron_Howard,"[34.502303, -97.957813]"
Paris_France,1933-08-18,White,Straight,2003,Best_Director,The_Pianist,Roman_Polanski,"[48.856613, 2.352222]"
Wellington_New_Zealand,1961-10-31,White,Straight,2004,Best_Director,The_Lord_of_the_Rings_Return_of_the_King,Peter_Jackson,"[-41.28664, 174.77557]"
San_Francisco_Ca,1930-05-31,White,Straight,2005,Best_Director,Million_Dollar_Baby,Clint_Eastwood,"[37.774929, -122.419418]"
Pingtung_Taiwan,1954-10-23,Asian,Straight,2006,Best_Director,Brokeback_Mountain,Ang_Lee,"[22.681614, 120.481592]"
Flushing_Ny,1942-11-17,White,Straight,2007,Best_Director,The_Departed,Martin_Scorsese,"[40.764462, -73.831693]"
St_Louis_Park_Mn,1957-09-21,White,Straight,2008,Best_Director,No_Country_for_Old_Men,Ethan_Coen,"[44.948333, -93.348611]"
Manchester_England,1956-10-20,White,Straight,2009,Best_Director,Slumdog_Millionaire,Danny_Boyle,"[53.480759, -2.242631]"
San_Carlos_Ca,1951-11-27,White,Straight,2009,Best_Director,The_Hurt_Locker,Kathryn_Bigelow,"[37.504311, -122.261796]"
London_England,1972-01-01,White,Straight,2011,Best_Director,The_Kings_Speech,Tom_Hooper,"[51.507351, -0.127758]"
Paris_France,1967-03-29,White,Straight,2012,Best_Director,The_Artist,Michel_Hazanavicius,"[48.856613, 2.352222]"
Pingtung_Taiwan,1954-10-23,Asian,Straight,2013,Best_Director,Life_of_Pi,Ang_Lee,"[22.681614, 120.481592]"
Rorschach_Switzerland,1884-07-23,White,Bisexual,1929,Best_Actor,The_Last_Command,Emil_Jannings,"[47.477522, 9.482359]"
Columbus_Oh,1889-03-29,White,Straight,1930,Best_Actor,In_Old_Arizona,Warner_Baxter,"[39.961178, -82.998795]"
London_England,1868-04-10,White,Straight,1930,Best_Actor,Desraeli,George_Arliss,"[51.507351, -0.127758]"
Philadelphia_Pa,1878-04-28,White,Straight,1931,Best_Actor,A_Free_Soul,Lionel_Barrymore,"[39.952583, -75.165222]"
Kansas_City_Mo,1885-04-01,White,Straight,1932,Best_Actor,The_Champ,Wallace_Beery,"[39.099731, -94.578568]"
Victoria_Hotel_Scarborough_Yorkshire_England,1899-07-01,White,Gay,1934,Best_Actor,The_Private_Life_of_Henry_VIII,Charles_Laughton,"[54.283333, -0.4]"
